name	group_concat(distinct(concept_name.name))
Adherence Counseling	Adherence session number,Medication Adherence percent,Adherence counseling (coded),Name of support provider,Number of missed medication doses in past 7 days,Viral load counseling,VL counseling
ADMINISTRATION	Record missing,Which program,Defaulter action taken
ANNUAL ART SCREENING	Systolic blood pressure,SBP,Systolic,TA,Diastolic blood pressure,DBP,Diastolic
ANNUAL DIABETES HYPERTENSION LAB TESTS	Creatinine,Electrocardiogram,ECG,Fundoscopy,Lipid profile
ART_FOLLOWUP	Weight (kg),WT,Weight,Height (cm),HT,Comments at conclusion of examination,Conclusions,Antiretroviral status or outcome,Taking co-trimoxazole preventive therapy,Is on CPT,Tins of antiretrovirals given to guardian,Tins of antiretrovirals given to accompagnateur,Tins of antiretrovirals given to patient,Is at work or school?,Engaged in employment or student,Goes to work or school,Amount of drug brought to clinic,Number of tablets brought to clinic,Number of mg brought to clinic,Adverse effect,AE,Adverse reaction,Adverse secondary reaction,Allergy,Secondary effects,Functional ability of the patient,Status of antiretroviral regimen,Status of ARV regimen,Amount of drug dispensed,Does patient have adverse effects,Side effects,Number of antiretrovirals given,Number of ARVs given,Responsible person present,Guardian present - voided,Guardian present,Transfer in,Trans_in,Amount dispensed,Pills dispensed,Data clerk comments,Guardian first name,Guardian last name,Is person living,Contact_alive,Alive,Antiretroviral drugs r
ART_INITIAL	Start date 1st line ARV,Date of starting first line antiretroviral regimen,Malawi Antiretroviral drugs change 1,Malawi Antiretroviral drugs change 2,Date of starting alternative 1st line ARV regimen,Clinical Conditions Text,WHO stage,Malawi Antiretroviral drugs change 3,Date of starting 2nd line ARV regimen,First positive HIV test type,Kaposis sarcoma side effects worsening while on ARVs?,Tuberculosis treatment status,TB treatment outcome,CD4 count,CD4,Ever received ART?,Ever received ART,Location where test took place,Height (cm),HT,Age,Weight (kg),WT,Weight,Date of CD4 count,Is patient pregnant?,Pregnant?,Pregnant/Lactating,Confirmatory HIV test location,Date of HIV diagnosis,ARV education done,ART education date,WHO stage - Retired,Follow up agreement,Agrees to followup,Guardian; name and first names,Guardian name,Guardian relationship to child,Guardian relation,Telephone number of contact,Contact phone number,Accompagnateur phone number,Accompagnateur number,Health worker phone number,Date ART last taken,
ASTHMA HOSPITALIZATION	Discharge medications (text),Duration of hospitalization in days,Hospital duration in days,Discharge diagnosis (text),Reason for hospital admission (text),Reason for hospitalization (text),Reason for admission (text)
ASTHMA_FOLLOWUP	Location of cooking,Appointment date,Next scheduled visit,Return visit date,Daily inhaled steroid use,Chronic lung disease treatment,Asthma exacerbation today,Weight (kg),WT,Weight,Inhaler use per week,Exposed to second hand smoke?,Daytime symptom frequency,Scheduled visit,Nighttime symptom frequency,Inhaler use per month,Asthma classification,Height (cm),HT,Number of cigarettes smoked per day,Inhaler use per day,Number of times inhaler is used in a year,Chronic care diagnosis,Other diagnosis,Clinical impression comments,Impression
ASTHMA_INITIAL	HIV status,Relationships of contact,HIV test date,Follow up agreement,Agrees to followup,Guardian; name and first names,Guardian name,Chronic Care Diagnosis Construct,Chronic care diagnosis,TB status,Previous or current tuberculosis treatment,Symptom present,SYM_PRES,Functional review of symptoms,Age at cough onset,Main activity,JOB,Occupation,Diagnosis date,Diagnosis year,Asthma family history,Location of cooking,COPD family history,Name of community health worker,Next of kin telephone,Family phone,Smoking history,SMOKE_HIS,History of tobacco use,Last time person used tobacco,Date of exposure,Exposure construct,Exposure,Duration of symptom in months,Dur_symp_mo,TB diagnosis year,Year of Tuberculosis diagnosis,Telephone number,Phone number,Date antiretrovirals started,ART start date
Blood pressure screening	Diastolic blood pressure,DBP,Diastolic,Systolic blood pressure,SBP,Systolic,TA,Pulse,HR,Heart rate
